-0.3571691,0.2250682,3.2934931
-0.5358978,0.1278395,3.3520526
-0.7040718,0.0226162,3.4073794
-0.8661608,-0.0890956,3.4581261
-1.0253374,-0.2058025,3.5031654
-1.1827330,-0.3265963,3.5422246
-1.3379757,-0.4521429,3.5760998
-1.4877292,-0.5818018,3.6057117
-1.6320760,-0.7173408,3.6334234
-1.7712508,-0.8601569,3.6603190
-1.9045465,-1.0101984,3.6867925
-2.0291612,-1.1641271,3.7129362
-2.1475132,-1.3243634,3.7385843
-2.2594767,-1.4903668,3.7638278
-2.3635900,-1.6591366,3.7873136
-2.4616797,-1.8327243,3.8095978
-2.5534773,-2.0096477,3.8302719
-2.6393050,-2.1890252,3.8480410
-2.7197252,-2.3715488,3.8644630
-2.7941618,-2.5559962,3.8772662
-2.8627422,-2.7430652,3.8879229
-2.9251144,-2.9321994,3.8961885
-2.9811801,-3.1233891,3.9008086
-3.0306665,-3.3161845,3.9039803
-3.0734550,-3.5109032,3.9032181
-3.1091857,-3.7069142,3.9006742
-3.1375684,-3.9037355,3.8958743
-3.1584768,-4.1024273,3.8883362
-3.1714397,-4.3005683,3.8795954
-3.1763584,-4.5000564,3.8686489
-3.1729408,-4.6996434,3.8565419
-3.1611718,-4.8973132,3.8435921
-3.1407817,-5.0960165,3.8296640
-3.1119323,-5.2934651,3.8154272
-3.0750284,-5.4883568,3.8010996
-3.0300787,-5.6813153,3.7868987
-2.9767090,-5.8731215,3.7736504
-2.9154782,-6.0616813,3.7492552
-2.8462553,-6.2480226,3.7145282
-2.7689157,-6.4320992,3.6694125
-2.6839942,-6.6117599,3.6064533
-2.5911066,-6.7871192,3.5410705
-2.4894377,-6.9588316,3.4732858
-2.3795028,-7.1252341,3.4020644
-2.2619374,-7.2849752,3.3250425
-2.1353630,-7.4393972,3.2444527
-2.0011060,-7.5863059,3.1578309
-1.8590684,-7.7254010,3.0650918
-1.7083961,-7.8568423,2.9691314
-1.5513728,-7.9780488,2.8645941
-1.3862028,-8.0897054,2.7596033
-1.2142033,-8.1899794,2.6538356
-1.0356780,-8.2777782,2.5516041
-0.8505520,-8.3520189,2.4511849
-0.6606453,-8.4108625,2.3653465
-0.4658155,-8.4532445,2.2856490
-0.2680380,-8.4774773,2.2288306
-0.0686536,-8.4820621,2.1734771
0.1295209,-8.4654338,2.1200678
0.3256474,-8.4257006,2.0531475
0.5126162,-8.3622836,1.9818882
0.6922873,-8.2713499,1.9393076
0.8548475,-8.1544303,1.9297041
0.9935999,-8.0163713,1.9543015
1.1112345,-7.8546528,1.9366743
1.2036984,-7.6793113,1.9320806
1.2757807,-7.4952720,1.9256101
1.3279499,-7.3040620,1.9224805
1.3567970,-7.1078373,1.9093968
1.3592123,-6.9095106,1.9306547
1.3333178,-6.7130071,1.9681464
1.2777632,-6.5218647,2.0025559
1.1933024,-6.3392703,2.0258351
1.0874555,-6.1738360,2.0532821
0.9604906,-6.0198579,2.0856736
0.8175189,-5.8795118,2.1234986
0.6651471,-5.7535652,2.2053746
0.5024621,-5.6358608,2.3023873
0.3369587,-5.5269035,2.4467665
0.1674117,-5.4208828,2.5703691
-0.0018130,-5.3160755,2.6548129
-0.1699427,-5.2086564,2.6964903
-0.3343907,-5.0963312,2.6971434
-0.4936237,-4.9764608,2.7033097
-0.6455059,-4.8479873,2.7123396
-0.7890852,-4.7097128,2.7064086
-0.9223054,-4.5623278,2.6969683
-1.0449266,-4.4047912,2.6478565
-1.1540300,-4.2388281,2.5949117
-1.2489866,-4.0635358,2.5271519
-1.3286087,-3.8812247,2.4413290
-1.3924909,-3.6926628,2.3249246
-1.4394417,-3.4983593,2.1695337
-1.4668726,-3.3022385,1.9889219
-1.4726139,-3.1025587,1.7308289
-1.4574995,-2.9045866,1.4489816
-1.4096795,-2.7122014,1.1216123
-1.2971896,-2.5553825,1.0000000
-1.1225288,-2.4561341,1.0000000
-0.9153058,-2.4303146,1.3422807
-0.7122940,-2.4410955,1.6780579
-0.5291693,-2.4506770,1.8945465
-0.3364471,-2.4534432,2.0670791
-0.1371341,-2.4615886,2.2085569
0.0646162,-2.4843586,2.3444462
0.2628327,-2.5195652,2.4825095
0.4555401,-2.5630874,2.6304673
0.6501795,-2.6131648,2.7824798
0.8418878,-2.6651445,2.9432297
1.0351632,-2.7162639,2.9947281
1.2289923,-2.7629961,2.9403538
1.4247637,-2.8029373,2.7951266
1.6208938,-2.8335017,2.6171841
1.8199743,-2.8526884,2.4568130
2.0185452,-2.8570070,2.3079302
2.2174928,-2.8431621,2.1937422
2.4136121,-2.8078602,2.1062750
2.6024367,-2.7486996,2.0403360
2.7827950,-2.6623092,1.9918117
2.9459102,-2.5492047,1.9551650
